CRYPTPAD-RECOVERY-CANARY-03
Deterministic multi-line recovery fixture.

Record 001 | square=0001 | token=CP03-001
Record 002 | square=0004 | token=CP03-002
Record 003 | square=0009 | token=CP03-003
Record 004 | square=0016 | token=CP03-004
Record 005 | square=0025 | token=CP03-005
Record 006 | square=0036 | token=CP03-006
Record 007 | square=0049 | token=CP03-007
Record 008 | square=0064 | token=CP03-008
Record 009 | square=0081 | token=CP03-009
Record 010 | square=0100 | token=CP03-010
Record 011 | square=0121 | token=CP03-011
Record 012 | square=0144 | token=CP03-012
Record 013 | square=0169 | token=CP03-013
Record 014 | square=0196 | token=CP03-014
Record 015 | square=0225 | token=CP03-015
Record 016 | square=0256 | token=CP03-016
Record 017 | square=0289 | token=CP03-017
Record 018 | square=0324 | token=CP03-018
Record 019 | square=0361 | token=CP03-019
Record 020 | square=0400 | token=CP03-020
Record 021 | square=0441 | token=CP03-021
Record 022 | square=0484 | token=CP03-022
Record 023 | square=0529 | token=CP03-023
Record 024 | square=0576 | token=CP03-024
Record 025 | square=0625 | token=CP03-025
Record 026 | square=0676 | token=CP03-026
Record 027 | square=0729 | token=CP03-027
Record 028 | square=0784 | token=CP03-028
Record 029 | square=0841 | token=CP03-029
Record 030 | square=0900 | token=CP03-030
Record 031 | square=0961 | token=CP03-031
Record 032 | square=1024 | token=CP03-032
Record 033 | square=1089 | token=CP03-033
Record 034 | square=1156 | token=CP03-034
Record 035 | square=1225 | token=CP03-035
Record 036 | square=1296 | token=CP03-036
Record 037 | square=1369 | token=CP03-037
Record 038 | square=1444 | token=CP03-038
Record 039 | square=1521 | token=CP03-039
Record 040 | square=1600 | token=CP03-040
Record 041 | square=1681 | token=CP03-041
Record 042 | square=1764 | token=CP03-042
Record 043 | square=1849 | token=CP03-043
Record 044 | square=1936 | token=CP03-044
Record 045 | square=2025 | token=CP03-045
Record 046 | square=2116 | token=CP03-046
Record 047 | square=2209 | token=CP03-047
Record 048 | square=2304 | token=CP03-048
Record 049 | square=2401 | token=CP03-049
Record 050 | square=2500 | token=CP03-050
Record 051 | square=2601 | token=CP03-051
Record 052 | square=2704 | token=CP03-052
Record 053 | square=2809 | token=CP03-053
Record 054 | square=2916 | token=CP03-054
Record 055 | square=3025 | token=CP03-055
Record 056 | square=3136 | token=CP03-056
Record 057 | square=3249 | token=CP03-057
Record 058 | square=3364 | token=CP03-058
Record 059 | square=3481 | token=CP03-059
Record 060 | square=3600 | token=CP03-060
Record 061 | square=3721 | token=CP03-061
Record 062 | square=3844 | token=CP03-062
Record 063 | square=3969 | token=CP03-063
Record 064 | square=4096 | token=CP03-064

Final marker: CP-LONG-END-03
